starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 18 18:43:56 2018	1534628636	0	6	6	6
Sat Aug 18 18:43:49 2018	1534628629	0	6	6	6
Sat Aug 18 18:43:50 2018	1534628630	0	6	6	6
Sat Aug 18 18:43:43 2018	1534628623	0	7	7	6
Sat Aug 18 18:43:49 2018	1534628629	0	7	7	7
Sat Aug 18 18:43:56 2018	1534628636	0	7	7	7
Sat Aug 18 18:43:43 2018	1534628623	0	7	7	7
Sat Aug 18 18:43:49 2018	1534628629	0	7	7	7
Sat Aug 18 18:43:43 2018	1534628623	0	7	7	7
Sat Aug 18 18:43:49 2018	1534628629	0	7	7	7
Sat Aug 18 18:43:37 2018	1534628617	0	7	7	7
Sat Aug 18 18:43:53 2018	1534628633	0	7	7	7
Sat Aug 18 18:43:56 2018	1534628636	0	7	7	7
Sat Aug 18 18:43:43 2018	1534628623	0	7	7	7
Sat Aug 18 18:43:54 2018	1534628634	0	7	7	7
Sat Aug 18 18:43:37 2018	1534628617	0	7	7	7
Sat Aug 18 18:43:56 2018	1534628636	0	7	7	7
Sat Aug 18 18:43:58 2018	1534628638	0	7	7	7
Sat Aug 18 18:43:43 2018	1534628623	0	7	7	7
Sat Aug 18 18:43:56 2018	1534628636	0	7	7	7
Sat Aug 18 18:43:51 2018	1534628631	0	7	7	7
Sat Aug 18 18:43:58 2018	1534628638	0	7	7	7
Sat Aug 18 18:43:54 2018	1534628634	0	7	7	7
Sat Aug 18 18:43:49 2018	1534628629	0	7	7	7
Sat Aug 18 18:43:54 2018	1534628634	0	7	7	7
Sat Aug 18 18:43:55 2018	1534628635	0	7	7	7
Sat Aug 18 18:43:55 2018	1534628635	0	7	7	7
Sat Aug 18 18:43:43 2018	1534628623	0	7	7	7
Sat Aug 18 18:43:53 2018	1534628633	0	7	7	7
Sat Aug 18 18:43:45 2018	1534628625	0	7	7	7
Sat Aug 18 18:43:44 2018	1534628624	0	7	8	7
Sat Aug 18 18:43:55 2018	1534628635	0	7	8	7
Sat Aug 18 18:43:50 2018	1534628630	0	7	8	7
Sat Aug 18 18:43:37 2018	1534628617	0	7	8	7
Sat Aug 18 18:43:53 2018	1534628633	0	7	8	7
Sat Aug 18 18:43:57 2018	1534628637	0	7	8	7
Sat Aug 18 18:43:49 2018	1534628629	0	7	8	7
Sat Aug 18 18:43:44 2018	1534628624	0	7	8	7
Sat Aug 18 18:43:51 2018	1534628631	0	7	8	7
Sat Aug 18 18:43:54 2018	1534628634	0	7	8	7
Sat Aug 18 18:43:42 2018	1534628622	0	8	8	7
Sat Aug 18 18:43:43 2018	1534628623	0	8	8	7
Sat Aug 18 18:43:54 2018	1534628634	0	8	8	7
Sat Aug 18 18:43:49 2018	1534628629	0	8	8	7
Sat Aug 18 18:43:54 2018	1534628634	0	8	8	7
Sat Aug 18 18:43:57 2018	1534628637	0	8	8	7
Sat Aug 18 18:43:56 2018	1534628636	0	8	8	7
Sat Aug 18 18:43:57 2018	1534628637	0	8	8	7
Sat Aug 18 18:43:49 2018	1534628629	0	8	8	7
Sat Aug 18 18:43:44 2018	1534628624	0	8	8	8
Sat Aug 18 18:43:57 2018	1534628637	0	8	8	7
Sat Aug 18 18:43:54 2018	1534628634	0	8	8	7
