starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 29 15:23:58 2018	1532888638	1	465	465	32
Sun Jul 29 15:23:58 2018	1532888638	1	467	468	68
Sun Jul 29 15:23:58 2018	1532888638	1	468	468	75
Sun Jul 29 15:23:58 2018	1532888638	0	468	468	95
Sun Jul 29 15:23:58 2018	1532888638	0	468	468	170
Sun Jul 29 15:23:58 2018	1532888638	0	468	469	119
Sun Jul 29 15:23:58 2018	1532888638	0	468	469	230
Sun Jul 29 15:23:58 2018	1532888638	0	468	469	315
Sun Jul 29 15:23:58 2018	1532888638	0	468	469	395
Sun Jul 29 15:23:58 2018	1532888638	0	468	469	464
Sun Jul 29 15:25:45 2018	1532888745	0	688	688	374
Sun Jul 29 15:25:45 2018	1532888745	0	688	688	312
Sun Jul 29 15:25:45 2018	1532888745	0	688	688	276
Sun Jul 29 15:25:45 2018	1532888745	0	688	688	92
Sun Jul 29 15:25:45 2018	1532888745	0	688	688	216
Sun Jul 29 15:25:45 2018	1532888745	0	688	688	158
Sun Jul 29 15:25:45 2018	1532888745	0	688	689	446
Sun Jul 29 15:25:45 2018	1532888745	0	688	689	489
Sun Jul 29 15:25:45 2018	1532888745	0	688	689	598
Sun Jul 29 15:25:45 2018	1532888745	0	688	689	687
Sun Jul 29 15:25:38 2018	1532888738	0	689	689	688
Sun Jul 29 15:24:56 2018	1532888696	0	693	693	656
Sun Jul 29 15:24:56 2018	1532888696	0	693	693	628
Sun Jul 29 15:25:38 2018	1532888738	0	693	693	460
Sun Jul 29 15:25:38 2018	1532888738	0	693	693	428
Sun Jul 29 15:25:38 2018	1532888738	0	693	693	545
Sun Jul 29 15:25:38 2018	1532888738	0	693	693	617
Sun Jul 29 15:25:38 2018	1532888738	0	693	693	375
Sun Jul 29 15:25:38 2018	1532888738	0	693	694	316
Sun Jul 29 15:24:56 2018	1532888696	0	694	694	691
Sun Jul 29 15:25:38 2018	1532888738	0	694	694	243
Sun Jul 29 15:25:38 2018	1532888738	0	694	694	160
Sun Jul 29 15:25:38 2018	1532888738	0	694	694	114
Sun Jul 29 15:24:56 2018	1532888696	0	695	695	522
Sun Jul 29 15:24:56 2018	1532888696	0	695	695	428
Sun Jul 29 15:24:53 2018	1532888693	0	695	695	136
Sun Jul 29 15:24:53 2018	1532888693	0	695	695	119
Sun Jul 29 15:24:53 2018	1532888693	0	695	695	219
Sun Jul 29 15:24:53 2018	1532888693	0	695	695	242
Sun Jul 29 15:24:56 2018	1532888696	0	695	695	356
Sun Jul 29 15:24:53 2018	1532888693	0	696	696	325
Sun Jul 29 15:24:53 2018	1532888693	0	696	696	596
Sun Jul 29 15:24:53 2018	1532888693	0	696	696	692
Sun Jul 29 15:24:53 2018	1532888693	0	696	696	409
Sun Jul 29 15:24:53 2018	1532888693	0	696	696	485
Sun Jul 29 15:24:53 2018	1532888693	0	696	696	558
Sun Jul 29 15:24:56 2018	1532888696	0	697	697	264
Sun Jul 29 15:24:56 2018	1532888696	0	698	698	193
Sun Jul 29 15:24:56 2018	1532888696	0	698	698	118
Sun Jul 29 15:24:56 2018	1532888696	0	698	698	100
Sun Jul 29 15:26:02 2018	1532888762	0	702	702	700
Sun Jul 29 15:26:02 2018	1532888762	0	701	702	609
Sun Jul 29 15:26:02 2018	1532888762	0	702	702	555
Sun Jul 29 15:26:02 2018	1532888762	0	702	702	424
Sun Jul 29 15:26:02 2018	1532888762	0	702	702	500
Sun Jul 29 15:26:02 2018	1532888762	0	702	702	354
Sun Jul 29 15:26:02 2018	1532888762	0	702	702	278
Sun Jul 29 15:26:02 2018	1532888762	0	702	702	249
Sun Jul 29 15:26:02 2018	1532888762	0	702	703	185
Sun Jul 29 15:26:02 2018	1532888762	0	702	703	115
Sun Jul 29 15:24:37 2018	1532888677	0	710	710	709
Sun Jul 29 15:24:37 2018	1532888677	0	709	710	687
Sun Jul 29 15:24:37 2018	1532888677	0	709	710	603
Sun Jul 29 15:24:37 2018	1532888677	0	710	710	261
Sun Jul 29 15:24:37 2018	1532888677	0	709	710	464
Sun Jul 29 15:24:37 2018	1532888677	0	709	710	426
Sun Jul 29 15:24:37 2018	1532888677	0	710	710	188
Sun Jul 29 15:24:37 2018	1532888677	0	709	710	340
Sun Jul 29 15:24:37 2018	1532888677	0	709	710	534
